Evaluation of hangsen_ours_fold5 with pg agent and sharpe indicator
Namespace(stock='hangsen_ours_fold5', window=30, episodes=10, agent='pg', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $28000.62 | ACTION BUY
DAY 2 | PRICE $28671.84 | ACTION BUY
DAY 3 | PRICE $28795.42 | ACTION SELL
DAY 5 | PRICE $26641.92 | ACTION BUY
DAY 6 | PRICE $27614.83 | ACTION SELL
DAY 7 | PRICE $27448.60 | ACTION BUY
DAY 8 | PRICE $26479.90 | ACTION BUY
DAY 9 | PRICE $26038.39 | ACTION SELL
DAY 11 | PRICE $22167.42 | ACTION BUY
DAY 12 | PRICE $23062.23 | ACTION BUY
DAY 13 | PRICE $22947.64 | ACTION SELL
DAY 14 | PRICE $23897.40 | ACTION BUY
DAY 15 | PRICE $24308.78 | ACTION BUY
DAY 18 | PRICE $24136.20 | ACTION BUY
DAY 26 | PRICE $26016.75 | ACTION SELL
DAY 28 | PRICE $24992.37 | ACTION BUY
DAY 29 | PRICE $24616.05 | ACTION SELL
DAY 30 | PRICE $24641.09 | ACTION SELL
DAY 31 | PRICE $25144.46 | ACTION BUY
DAY 32 | PRICE $24621.32 | ACTION BUY
DAY 40 | PRICE $24478.47 | ACTION SELL
DAY 42 | PRICE $24689.51 | ACTION BUY
DAY 49 | PRICE $25998.87 | ACTION SELL
DAY 50 | PRICE $26670.97 | ACTION SELL
DAY 51 | PRICE $27457.47 | ACTION SELL
DAY 53 | PRICE $29745.87 | ACTION BUY
DAY 54 | PRICE $28467.01 | ACTION SELL
DAY 55 | PRICE $28775.38 | ACTION BUY
DAY 56 | PRICE $29828.62 | ACTION BUY
DAY 59 | PRICE $28422.27 | ACTION SELL
DAY 61 | PRICE $28801.09 | ACTION SELL
DAY 62 | PRICE $28132.36 | ACTION BUY
DAY 63 | PRICE $28587.11 | ACTION BUY
DAY 65 | PRICE $28597.00 | ACTION SELL
DAY 66 | PRICE $29162.87 | ACTION BUY
DAY 67 | PRICE $28384.12 | ACTION SELL
DAY 68 | PRICE $27718.67 | ACTION BUY
DAY 72 | PRICE $28743.82 | ACTION SELL
DAY 73 | PRICE $28314.93 | ACTION BUY
DAY 75 | PRICE $27904.53 | ACTION BUY
DAY 76 | PRICE $27612.69 | ACTION SELL
DAY 77 | PRICE $27121.49 | ACTION BUY
DAY 81 | PRICE $25615.38 | ACTION SELL
DAY 82 | PRICE $25361.75 | ACTION SELL
DAY 83 | PRICE $25110.72 | ACTION BUY
DAY 84 | PRICE $26135.40 | ACTION BUY
DAY 85 | PRICE $25377.83 | ACTION SELL
DAY 86 | PRICE $23771.46 | ACTION SELL
DAY 89 | PRICE $24929.56 | ACTION BUY
DAY 92 | PRICE $24724.39 | ACTION SELL
DAY 94 | PRICE $24825.43 | ACTION BUY
DAY 95 | PRICE $24062.26 | ACTION SELL
DAY 97 | PRICE $23916.63 | ACTION BUY
DAY 100 | PRICE $23193.19 | ACTION BUY
DAY 101 | PRICE $23399.09 | ACTION SELL
DAY 102 | PRICE $24111.74 | ACTION SELL
DAY 105 | PRICE $24649.74 | ACTION SELL
DAY 106 | PRICE $24523.95 | ACTION SELL
DAY 107 | PRICE $22786.39 | ACTION SELL
DAY 109 | PRICE $20709.62 | ACTION BUY
DAY 111 | PRICE $21900.13 | ACTION BUY
DAY 112 | PRICE $21922.58 | ACTION BUY
DAY 113 | PRICE $21568.22 | ACTION SELL
DAY 114 | PRICE $20896.43 | ACTION BUY
DAY 115 | PRICE $19858.36 | ACTION BUY
DAY 116 | PRICE $20772.80 | ACTION SELL
DAY 117 | PRICE $19342.89 | ACTION BUY
DAY 118 | PRICE $19924.87 | ACTION BUY
DAY 130 | PRICE $19984.04 | ACTION SELL
DAY 132 | PRICE $19889.67 | ACTION SELL
DAY 133 | PRICE $19064.79 | ACTION BUY
DAY 134 | PRICE $19296.25 | ACTION BUY
DAY 137 | PRICE $17682.85 | ACTION BUY
DAY 141 | PRICE $15276.76 | ACTION SELL
