Evaluation of nasdaq_ours_fold2 with a2c agent and none indicator
Namespace(stock='nasdaq_ours_fold2', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='none', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 2 | PRICE $9346.81 | ACTION BUY
DAY 3 | PRICE $9088.04 | ACTION SELL
DAY 5 | PRICE $9493.63 | ACTION BUY
DAY 6 | PRICE $9675.80 | ACTION SELL
DAY 10 | PRICE $6828.91 | ACTION BUY
DAY 11 | PRICE $7169.86 | ACTION SELL
DAY 15 | PRICE $8404.54 | ACTION BUY
DAY 16 | PRICE $8765.01 | ACTION SELL
DAY 17 | PRICE $8819.37 | ACTION BUY
DAY 18 | PRICE $8752.68 | ACTION SELL
DAY 20 | PRICE $9345.28 | ACTION BUY
DAY 21 | PRICE $9560.41 | ACTION SELL
DAY 23 | PRICE $9885.66 | ACTION BUY
DAY 24 | PRICE $9810.47 | ACTION SELL
DAY 27 | PRICE $10421.20 | ACTION BUY
DAY 28 | PRICE $10217.31 | ACTION SELL
DAY 35 | PRICE $10982.26 | ACTION BUY
DAY 37 | PRICE $11019.14 | ACTION SELL
DAY 41 | PRICE $11221.06 | ACTION BUY
DAY 42 | PRICE $10830.94 | ACTION BUY
DAY 44 | PRICE $11814.89 | ACTION SELL
DAY 45 | PRICE $11796.53 | ACTION SELL
DAY 52 | PRICE $13098.41 | ACTION BUY
DAY 54 | PRICE $12985.05 | ACTION SELL
DAY 55 | PRICE $13761.66 | ACTION BUY
DAY 56 | PRICE $13937.71 | ACTION SELL
DAY 61 | PRICE $13278.78 | ACTION BUY
DAY 63 | PRICE $13674.28 | ACTION SELL
DAY 67 | PRICE $13485.59 | ACTION BUY
DAY 68 | PRICE $13107.67 | ACTION BUY
DAY 70 | PRICE $13631.80 | ACTION SELL
DAY 71 | PRICE $13689.74 | ACTION SELL
DAY 76 | PRICE $14371.59 | ACTION BUY
DAY 77 | PRICE $14451.80 | ACTION BUY
DAY 78 | PRICE $14617.87 | ACTION SELL
DAY 79 | PRICE $14761.38 | ACTION SELL
DAY 86 | PRICE $14998.73 | ACTION BUY
DAY 87 | PRICE $14946.57 | ACTION BUY
DAY 90 | PRICE $14847.97 | ACTION SELL
DAY 91 | PRICE $15021.02 | ACTION SELL
DAY 106 | PRICE $14330.87 | ACTION BUY
DAY 107 | PRICE $13931.99 | ACTION SELL
DAY 108 | PRICE $12587.88 | ACTION BUY
DAY 109 | PRICE $13472.64 | ACTION SELL
DAY 119 | PRICE $11510.25 | ACTION BUY
DAY 120 | PRICE $11035.69 | ACTION SELL
DAY 126 | PRICE $11250.32 | ACTION BUY
DAY 128 | PRICE $11703.36 | ACTION BUY
DAY 129 | PRICE $11718.38 | ACTION SELL
DAY 130 | PRICE $12425.21 | ACTION SELL
DAY 132 | PRICE $12863.01 | ACTION BUY
DAY 133 | PRICE $12350.16 | ACTION SELL
DAY 140 | PRICE $10088.83 | ACTION BUY
DAY 141 | PRICE $10574.55 | ACTION SELL
DAY 143 | PRICE $10319.54 | ACTION BUY
DAY 144 | PRICE $10779.95 | ACTION SELL
DAY 152 | PRICE $10589.59 | ACTION BUY
DAY 153 | PRICE $10952.05 | ACTION SELL
DAY 160 | PRICE $11319.98 | ACTION BUY
DAY 161 | PRICE $11365.49 | ACTION SELL
DAY 174 | PRICE $13561.84 | ACTION BUY
DAY 177 | PRICE $13842.13 | ACTION BUY
DAY 178 | PRICE $14317.09 | ACTION SELL
DAY 179 | PRICE $14041.95 | ACTION SELL
DAY 184 | PRICE $13924.20 | ACTION BUY
DAY 185 | PRICE $13642.47 | ACTION SELL
DAY 188 | PRICE $13025.11 | ACTION BUY
DAY 189 | PRICE $13087.57 | ACTION SELL
DAY 194 | PRICE $13506.02 | ACTION BUY
DAY 195 | PRICE $14033.79 | ACTION SELL
DAY 200 | PRICE $14927.12 | ACTION BUY
DAY 201 | PRICE $14682.38 | ACTION SELL
DAY 205 | PRICE $15158.49 | ACTION BUY
DAY 209 | PRICE $15931.70 | ACTION BUY
DAY 210 | PRICE $16096.01 | ACTION SELL
DAY 211 | PRICE $16039.68 | ACTION SELL
DAY 213 | PRICE $16347.38 | ACTION BUY
DAY 214 | PRICE $16080.49 | ACTION BUY
DAY 215 | PRICE $16125.33 | ACTION SELL
DAY 217 | PRICE $15770.72 | ACTION SELL
DAY 232 | PRICE $17032.17 | ACTION BUY
DAY 233 | PRICE $17790.98 | ACTION SELL
DAY 235 | PRICE $17035.07 | ACTION BUY
DAY 237 | PRICE $17909.75 | ACTION SELL
DAY 241 | PRICE $18368.79 | ACTION BUY
DAY 242 | PRICE $18305.42 | ACTION SELL
DAY 243 | PRICE $18083.95 | ACTION BUY
DAY 244 | PRICE $19084.43 | ACTION SELL
DAY 246 | PRICE $18714.06 | ACTION BUY
DAY 248 | PRICE $19734.42 | ACTION BUY
DAY 249 | PRICE $19817.47 | ACTION SELL
DAY 250 | PRICE $19168.38 | ACTION SELL
Initial Cash: $37348.70
Total Profit: $10439.46
Final Cash:  $47788.16
Price Change: $8976.43 → $19342.51 (115.48%)
