Evaluation of kosdaq_ours_fold3 with a2c agent and sharpe indicator
Namespace(stock='kosdaq_ours_fold3', window=30, episodes=10, agent='a2c', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 0 | PRICE $604.51 | ACTION BUY
DAY 3 | PRICE $551.25 | ACTION SELL
DAY 4 | PRICE $593.22 | ACTION BUY
DAY 5 | PRICE $602.05 | ACTION BUY
DAY 6 | PRICE $616.88 | ACTION SELL
DAY 7 | PRICE $644.06 | ACTION BUY
DAY 9 | PRICE $688.88 | ACTION SELL
DAY 10 | PRICE $708.60 | ACTION BUY
DAY 11 | PRICE $716.83 | ACTION BUY
DAY 12 | PRICE $747.37 | ACTION SELL
DAY 13 | PRICE $693.15 | ACTION SELL
DAY 18 | PRICE $776.97 | ACTION BUY
DAY 19 | PRICE $795.19 | ACTION SELL
DAY 21 | PRICE $854.48 | ACTION SELL
DAY 22 | PRICE $794.91 | ACTION BUY
DAY 23 | PRICE $820.02 | ACTION BUY
DAY 25 | PRICE $874.31 | ACTION BUY
DAY 26 | PRICE $893.24 | ACTION BUY
DAY 27 | PRICE $838.13 | ACTION BUY
DAY 30 | PRICE $821.50 | ACTION BUY
DAY 33 | PRICE $845.17 | ACTION BUY
DAY 36 | PRICE $885.65 | ACTION SELL
DAY 37 | PRICE $910.36 | ACTION BUY
DAY 38 | PRICE $924.52 | ACTION SELL
DAY 41 | PRICE $982.27 | ACTION BUY
DAY 43 | PRICE $975.62 | ACTION SELL
DAY 44 | PRICE $957.17 | ACTION SELL
DAY 46 | PRICE $965.83 | ACTION BUY
DAY 47 | PRICE $953.48 | ACTION BUY
DAY 48 | PRICE $914.49 | ACTION SELL
DAY 49 | PRICE $877.73 | ACTION SELL
DAY 50 | PRICE $928.17 | ACTION BUY
DAY 52 | PRICE $954.54 | ACTION SELL
DAY 53 | PRICE $964.62 | ACTION SELL
DAY 55 | PRICE $1025.48 | ACTION BUY
DAY 57 | PRICE $944.15 | ACTION BUY
DAY 58 | PRICE $958.57 | ACTION SELL
DAY 59 | PRICE $962.78 | ACTION SELL
DAY 60 | PRICE $960.64 | ACTION BUY
DAY 61 | PRICE $981.52 | ACTION BUY
DAY 62 | PRICE $979.47 | ACTION BUY
DAY 70 | PRICE $1050.32 | ACTION SELL
DAY 71 | PRICE $1052.21 | ACTION BUY
DAY 73 | PRICE $1014.10 | ACTION SELL
DAY 76 | PRICE $1033.69 | ACTION BUY
DAY 82 | PRICE $995.35 | ACTION SELL
DAY 83 | PRICE $998.14 | ACTION BUY
DAY 88 | PRICE $995.93 | ACTION SELL
DAY 89 | PRICE $1005.61 | ACTION SELL
DAY 90 | PRICE $1030.57 | ACTION BUY
DAY 91 | PRICE $976.41 | ACTION SELL
DAY 93 | PRICE $911.02 | ACTION BUY
DAY 94 | PRICE $887.02 | ACTION BUY
DAY 99 | PRICE $870.81 | ACTION SELL
DAY 100 | PRICE $917.93 | ACTION SELL
DAY 101 | PRICE $926.55 | ACTION SELL
DAY 102 | PRICE $938.45 | ACTION BUY
DAY 105 | PRICE $899.83 | ACTION BUY
DAY 107 | PRICE $831.59 | ACTION BUY
DAY 108 | PRICE $856.30 | ACTION SELL
DAY 110 | PRICE $884.11 | ACTION BUY
DAY 112 | PRICE $800.56 | ACTION SELL
DAY 115 | PRICE $750.67 | ACTION BUY
DAY 116 | PRICE $757.99 | ACTION SELL
DAY 118 | PRICE $796.48 | ACTION BUY
DAY 119 | PRICE $820.06 | ACTION SELL
DAY 120 | PRICE $828.27 | ACTION BUY
DAY 122 | PRICE $801.84 | ACTION SELL
DAY 123 | PRICE $784.67 | ACTION BUY
DAY 124 | PRICE $790.83 | ACTION SELL
DAY 126 | PRICE $681.59 | ACTION SELL
DAY 127 | PRICE $683.15 | ACTION SELL
DAY 130 | PRICE $686.41 | ACTION SELL
DAY 135 | PRICE $739.16 | ACTION BUY
DAY 136 | PRICE $711.08 | ACTION BUY
DAY 137 | PRICE $721.46 | ACTION BUY
DAY 138 | PRICE $709.52 | ACTION BUY
DAY 139 | PRICE $675.80 | ACTION SELL
DAY 140 | PRICE $676.40 | ACTION BUY
DAY 141 | PRICE $709.26 | ACTION SELL
DAY 142 | PRICE $712.32 | ACTION BUY
DAY 143 | PRICE $732.33 | ACTION SELL
DAY 145 | PRICE $774.61 | ACTION BUY
DAY 147 | PRICE $783.66 | ACTION SELL
DAY 148 | PRICE $807.95 | ACTION BUY
DAY 152 | PRICE $856.15 | ACTION SELL
DAY 153 | PRICE $888.63 | ACTION BUY
DAY 155 | PRICE $829.19 | ACTION SELL
DAY 156 | PRICE $839.08 | ACTION SELL
DAY 157 | PRICE $820.24 | ACTION SELL
DAY 158 | PRICE $836.68 | ACTION SELL
DAY 162 | PRICE $883.09 | ACTION SELL
DAY 163 | PRICE $867.68 | ACTION BUY
DAY 165 | PRICE $865.65 | ACTION BUY
DAY 167 | PRICE $924.31 | ACTION BUY
DAY 168 | PRICE $926.75 | ACTION SELL
DAY 169 | PRICE $889.25 | ACTION SELL
DAY 170 | PRICE $877.85 | ACTION BUY
DAY 172 | PRICE $921.05 | ACTION BUY
DAY 173 | PRICE $916.08 | ACTION BUY
DAY 174 | PRICE $882.27 | ACTION SELL
DAY 176 | PRICE $821.71 | ACTION BUY
DAY 177 | PRICE $805.03 | ACTION BUY
DAY 178 | PRICE $807.45 | ACTION SELL
DAY 179 | PRICE $770.84 | ACTION SELL
DAY 180 | PRICE $737.52 | ACTION BUY
DAY 181 | PRICE $810.15 | ACTION SELL
DAY 183 | PRICE $809.83 | ACTION SELL
DAY 184 | PRICE $812.95 | ACTION SELL
DAY 187 | PRICE $860.56 | ACTION BUY
DAY 188 | PRICE $856.53 | ACTION SELL
DAY 189 | PRICE $875.34 | ACTION SELL
DAY 190 | PRICE $855.00 | ACTION SELL
DAY 191 | PRICE $836.89 | ACTION BUY
DAY 193 | PRICE $807.36 | ACTION SELL
DAY 194 | PRICE $831.56 | ACTION SELL
DAY 196 | PRICE $858.56 | ACTION BUY
DAY 197 | PRICE $860.01 | ACTION BUY
DAY 199 | PRICE $899.24 | ACTION BUY
DAY 200 | PRICE $908.98 | ACTION SELL
DAY 203 | PRICE $824.99 | ACTION SELL
DAY 204 | PRICE $852.80 | ACTION BUY
DAY 206 | PRICE $856.88 | ACTION SELL
DAY 207 | PRICE $844.97 | ACTION SELL
DAY 210 | PRICE $871.12 | ACTION BUY
DAY 212 | PRICE $837.80 | ACTION BUY
DAY 213 | PRICE $838.90 | ACTION SELL
DAY 214 | PRICE $851.72 | ACTION SELL
DAY 216 | PRICE $794.23 | ACTION BUY
DAY 217 | PRICE $807.50 | ACTION BUY
DAY 219 | PRICE $783.88 | ACTION BUY
DAY 220 | PRICE $764.83 | ACTION SELL
DAY 221 | PRICE $757.87 | ACTION BUY
DAY 224 | PRICE $758.02 | ACTION BUY
DAY 226 | PRICE $765.27 | ACTION BUY
DAY 228 | PRICE $729.75 | ACTION SELL
DAY 230 | PRICE $727.04 | ACTION SELL
DAY 232 | PRICE $683.37 | ACTION SELL
DAY 234 | PRICE $627.01 | ACTION BUY
DAY 235 | PRICE $695.67 | ACTION BUY
DAY 235 | PRICE $671.09 | ACTION LIQUIDATE
DAY 235 | PRICE $671.09 | ACTION LIQUIDATE
DAY 235 | PRICE $671.09 | ACTION LIQUIDATE
DAY 235 | PRICE $671.09 | ACTION LIQUIDATE
Initial Cash: $6025.00
Total Profit: -$564.87
Final Cash:  $5460.13
Price Change: $604.51 → $671.09 (11.01%)
